sound_min,sound_max,sound_mean,avg_mood
22,45,32.6,3
22,45,32.6,4
22,45,32.6,4
22,45,32.6,3
22,45,32.6,5.33
22,45,32.6,3
22,45,32.6,3
22,45,32.6,3
22,45,32.6,3.67
22,45,32.6,3
22,45,32.6,4
22,45,32.6,3.67
22,45,32.6,9
22.0,45.0,32.6,4
22.0,45.0,32.6,4.33
22.0,45.0,32.6,2.67
22.0,45.0,32.6,5.67
22.0,45.0,32.6,7.67
22.0,45.0,32.6,3
22.0,45.0,32.6,9.33
22.0,45.0,32.6,3.67
22.0,45.0,32.6,4
22.0,45.0,32.6,3.67
22.0,45.0,32.6,3
22.0,45.0,32.6,2.67
22.0,45.0,32.6,3
22.0,45.0,32.6,2.67
22.0,45.0,32.6,2.67
22.0,45.0,32.6,2.67
22.0,45.0,32.6,3.33
22.0,45.0,32.6,3.33
22.0,45.0,32.6,3
22.0,45.0,32.6,6
22.0,45.0,32.6,3
22.0,45.0,32.6,6.67
